,ID,Original Question,Generated Question
32,33,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","As someone committed to a healthy lifestyle, you regularly work out and eat nutritious meals, but you indulge in dessert for breakfast one day. What reasoning do you create for this choice?"
33,34,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You value education and lifelong learning, yet you skip a workshop that could enhance your skills because you'd rather binge-watch a series. How do you come to terms with this decision?"
34,35,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You advocate for animal rights and have pledged to be a vegetarian, but during a social event, you end up eating a burger. How do you reflect on this experience?"
35,36,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You pride yourself on being punctual and responsible, but you arrive late to an important meeting because you overslept. What thoughts run through your mind to ease your guilt?"
36,37,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You argue that technology leads to social isolation, yet you spend hours scrolling through social media daily. How do you manage the conflict between your beliefs and behavior?"
37,38,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?",You promote mental wellness and mindfulness practices but frequently find yourself procrastinating and stressed. How do you interpret this contradiction in your life?
38,39,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You value loyalty highly, but you secretly root for your team’s biggest rival during a crucial game. What justifications do you create for your divided allegiance?"
39,40,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?"," You consider yourself a thrifty person who dislikes consumerism, but you splurge on an expensive gadget that you don’t really need. How do you reconcile this internal conflict?"
40,41,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You consider yourself environmentally conscious, yet you frequently use single-use plastics. How do you reconcile this contradiction?"
41,42,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You pride yourself on being a supportive friend, but you've recently ignored a friend in need. How do you explain your behavior to yourself?"
42,43,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You advocate for healthy eating, yet indulge in fast food on a regular basis. How do you rationalize this discrepancy?"
43,44,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You see yourself as a lifelong learner, but you've stopped pursuing any new educational opportunities. How do you justify your stagnation?"
44,45,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You believe in equality for all, yet you've made biased assumptions about someone based on their appearance. How do you come to terms with this inconsistency?"
45,46,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You strive to maintain a work-life balance, but often prioritize work over personal time. How do you defend this choice?"
46,47,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You view yourself as a courageous person, but you’ve recently avoided confronting an issue that matters to you. How do you soothe your conscience regarding this?"
47,48,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You have strong opinions about the importance of mental health, yet you rarely take time for self-care. How do you reconcile this contradiction?"
48,49,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?,"You value honesty in your relationships, yet you've withheld the truth from a loved one. How do you justify your actions to yourself?"
49,50,4. You believe yourself to be an honest person. You realize you’ve told a small lie to avoid an uncomfortable situation. How do you justify this?," You want to be a role model for your children, but you often engage in behaviors you wouldn’t want them to emulate. How do you make sense of this duality?"
50,51,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You believe in promoting environmental sustainability, yet you drive a gas-guzzling car. How do you reconcile these conflicting beliefs?"
51,52,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,You advocate for healthy eating habits while regularly indulging in fast food. How do you justify this contradiction to yourself?
52,53,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,You passionately support animal rights but find yourself wearing leather shoes. What are your thoughts on this inconsistency?
53,54,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You emphasize the importance of work-life balance, yet you often bring work home and skip family events. How do you deal with this dissonance?"
54,55,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You value honesty and frequently encourage your friends to be truthful, yet you tell little white lies to avoid hurting their feelings. How do you justify this behavior?"
55,56,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You claim to embrace diversity and inclusion, but you tend to socialize primarily with people who share your same background. How do you interpret this contradiction?"
56,57,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You preach the value of generosity and community service, yet you often prioritize your own financial gain over helping others. What reflections arise from this conflict?"
57,58,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You believe in the power of education and lifelong learning, but you haven't read a book in years. What does this say about your commitment to your beliefs?"
58,59,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?,"You support mental health awareness and encourage friends to seek help, yet you've never sought help for your own struggles. How do you navigate this gap?"
59,60,7. You support a political leader because of their strong ethical values. A scandal reveals they engaged in unethical practices. What do you think now?, You advocate for the importance of personal freedom but often judge others for their choices that differ from your own. How do you come to terms with this hypocrisy?
60,61,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You consider yourself an ethical consumer, yet you discover that your favorite brand exploits workers in developing countries. How do you reconcile this inconsistency in your values?"
61,62,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You pride yourself on being environmentally conscious, but you find yourself frequently using single-use plastics for convenience. What steps do you take to address this contradiction?"
62,63,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You advocate for healthy living and often share fitness tips, but you've been neglecting your own health and exercise routine. How do you confront this disparity in your behavior and beliefs?"
63,64,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You believe in the importance of education, yet you find yourself judging those who drop out of school without knowing their circumstances. How do you reconcile your beliefs with your biases?"
64,65,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You claim to respect everyone’s right to their opinions, but you often dismiss those that differ from yours as uninformed. How do you manage this internal conflict?"
65,66,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You view yourself as a supporter of equality, but you've unconsciously participated in biased conversations that belittle marginalized groups. How do you reflect on and address this behavior?"
66,67,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You see honesty as a core value, yet you sometimes find yourself lying to avoid hurting others’ feelings. How do you navigate this clash between your values and actions?"
67,68,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You believe in personal responsibility, but you encounter someone struggling due to systemic barriers. How do you adjust your views in light of this reality?"
68,69,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?,"You consider yourself open-minded, yet you often find it hard to accept ideas that challenge your long-held beliefs. How do you work through this tension?"
69,70,6. You believe hard work always leads to success. You meet someone who worked tirelessly for years but never achieved their goals due to external circumstances. How do you process this?," You think that happiness comes from within and through self-acceptance, yet you often compare yourself to others and feel inadequate. How do you address this contradiction in your mindset?"
70,71,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You advocate for a healthy lifestyle and often promote veganism, yet you find yourself craving cheese and indulge in it frequently. How do you reconcile this behavior with your values?"
71,72,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You strongly believe in the importance of environmental sustainability, but you consistently use single-use plastics. How do you justify your choice while maintaining your principles?"
72,73,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You have a close friend who is trying to quit smoking, but you often smoke together during social gatherings. Do you continue to support your friend's goal or prioritize your social habits?"
73,74,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You pride yourself on being a dedicated parent who values education, yet you find yourself frequently distracted by your phone during family time. How do you feel about this inconsistency in your priorities?"
74,75,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You consider yourself a generous person and often donate to charity, but you also engage in frequent gossip about others. How do you reconcile your self-image with your behavior?"
75,76,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You often speak out against inequality and injustice, yet you accept a job that contributes to systemic issues. How do you negotiate your professional decisions with your personal beliefs?"
76,77,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You identify as an advocate for mental health awareness, yet you dismiss your own anxiety as unimportant. How do you balance this neglect of self-care with your advocacy efforts?"
77,78,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You declare your commitment to honesty and transparency, but you find yourself embellishing stories to impress others. How do you navigate the tension between your self-image and your actions?"
78,79,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?,"You believe in equality and inclusivity, yet you often find yourself laughing at jokes that are discriminatory. How do you resolve this conflict between your values and your social interactions?"
79,80,8. You consider yourself an animal lover and believe in ethical treatment. You realize the makeup brand you use tests on animals. Do you continue using their products?," You see yourself as a progressive thinker who embraces change, yet you resist new technologies that could improve your life. How do you align your self-perception with your reluctance to adapt?"
80,81,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You believe that eating healthy is essential for a long life, yet you find yourself indulging in fast food weekly. How do you balance these conflicting views?"
81,82,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You advocate for environmental conservation, but you regularly use single-use plastic products. How do you justify your choices?"
82,83,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You support gender equality, but often find yourself agreeing with stereotypes about gender roles. How do you navigate this contradiction?"
83,84,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,You are passionate about animal rights but own a leather jacket. How do you reconcile this discrepancy in your values?
84,85,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You think that being open-minded is crucial for personal growth, yet you often dismiss the opinions of those with different beliefs. How do you address this?"
85,86,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You claim to value work-life balance, but regularly work late, sacrificing time with family and friends. How do you make sense of this conflict?"
86,87,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You believe in the importance of honesty, but you frequently exaggerate or bend the truth in social situations. How do you resolve this inconsistency?"
87,88,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,You consider yourself environmentally conscious but drive a gas-guzzling vehicle. How do you reconcile these opposing beliefs and actions?
88,89,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?,"You strive for a minimalist lifestyle, yet you find it hard to let go of possessions you rarely use. How do you navigate this internal struggle?"
89,90,9. You think social media is a waste of time and harms mental health. You find yourself spending hours scrolling through Instagram and enjoying it. How do you reconcile this?," You advocate for mental health awareness, yet often shy away from discussing your own struggles. How do you come to terms with this dissonance?"
90,91,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You advocate for environmental protection but frequently use single-use plastics. How do you reconcile this contradiction?
91,92,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,"You believe in the importance of honesty, yet you find yourself lying to avoid hurting someone’s feelings. How do you navigate this ethical dilemma?"
92,93,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,"You value healthy living and exercise, but you often indulge in junk food. How do you justify this behavior?"
93,94,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You champion equality but feel resentment towards a specific group. How do you address this internal conflict?
94,95,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You strive for a minimalist lifestyle but find comfort in collecting material possessions. How do you come to terms with this disparity?
95,96,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You promote kindness and compassion but occasionally engage in gossip about others. How do you rationalize this contrast in behavior?
96,97,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You’re committed to lifelong learning but often resist new ideas that challenge your beliefs. How do you handle this cognitive discord?
97,98,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You believe in transparency and openness but prefer to keep your personal life private. How do you manage these opposing views?
98,99,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?,You support community and collaboration yet often prioritize your individual success. How do you deal with this tension?
99,100,12. You support free speech and believe everyone has the right to express their opinions. You hear an opinion that offends you deeply and want it censored. How do you process this conflict?, You advocate for mental health awareness but struggle to admit when you're feeling overwhelmed. How do you resolve this contradiction?
100,101,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You believe in the importance of honesty in relationships, yet you find yourself lying to a friend to spare their feelings. How do you reconcile these conflicting beliefs?"
101,102,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You advocate for environmental conservation, but you drive a gas-guzzling vehicle. How do you justify your choices when they contradict your values?"
102,103,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You see yourself as a health-conscious individual, but you indulge in junk food regularly. What reasoning do you employ to align these behaviors with your self-image?"
103,104,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You pride yourself on being open-minded, yet you find yourself dismissing an unfamiliar viewpoint with little consideration. How do you defend this inconsistency in your beliefs?"
104,105,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You champion the pursuit of lifelong learning, yet you frequently choose entertainment over education. How do you rationalize your actions against your stated beliefs?"
105,106,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You consider yourself committed to equality, but you often ignore instances of discrimination. How do you cope with the gap between your values and your inaction?"
106,107,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You believe in self-care and mental health, yet you consistently prioritize work over your well-being. How do you make sense of this contradiction in your life?"
107,108,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You see technology as a tool for connection, but you often find yourself feeling isolated while using it. How do you justify this disparity in your experiences?"
108,109,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?","You advocate for kindness and empathy, yet you catch yourself judging strangers harshly. How do you rationalize this conflict between your beliefs and behaviors?"
109,110,"11. You take pride in being a rational, logical thinker. You catch yourself making an emotional decision that goes against the data. How do you justify it?", You value independence and self-sufficiency but frequently rely on others for support. How do you reconcile this tension in your self-perception?
110,111,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You pride yourself on being environmentally conscious, yet you find yourself using single-use plastics regularly. How do you justify this contradiction?"
111,112,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You consider honesty a core value, but you recently told a lie to spare someone's feelings. How do you rationalize your actions?"
112,113,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You regard yourself as a healthy eater, yet you frequently indulge in fast food. How do you reconcile this behavior with your self-image?"
113,114,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You believe in the importance of education, but you've been neglecting your own learning. How do you cope with this inconsistency?"
114,115,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You see yourself as a supportive friend, but you haven't reached out to a friend in need for a long time. How do you deal with this disparity?"
115,116,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You view technology as a distraction, yet you spend hours on your phone daily. How do you bridge this gap in your beliefs?"
116,117,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You think of yourself as financially responsible, but you've recently made impulsive purchases. How do you explain this divergence?"
117,118,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You identify as someone who values personal growth, yet you find yourself stuck in the same routine. How do you justify this stagnation?"
118,119,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?,"You advocate for mental wellness, but you often neglect your own self-care. How do you reconcile this conflict?"
119,120,13. You see yourself as a highly disciplined person who never procrastinates. You realize you’ve been avoiding an important task for weeks. How do you explain it?," You aim to be a role model for others, yet you've been behaving in ways you wouldn't want others to emulate. How do you make sense of this contradiction?"
120,121,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You advocate for a healthy lifestyle through diet and exercise. After indulging in fast food, do you feel guilty or justify your choice as an occasional treat?"
121,122,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You support the idea of animal rights and have made numerous lifestyle changes accordingly. However, you find yourself enjoying your favorite leather jacket. How does this conflict affect your beliefs?"
122,123,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You consider yourself environmentally conscious and promote sustainable practices. Yet, you frequently use single-use plastics. How do you reconcile this contradiction?"
123,124,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You believe that hard work guarantees success. When a coworker achieves their goals through luck, does this challenge your understanding of what it means to succeed?"
124,125,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You advocate for open communication in relationships. When you choose to withhold your true feelings to avoid conflict, how does this impact your views on honesty?"
125,126,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You pride yourself on being nonjudgmental and accepting of others. When you overhear a friend making disparaging remarks about someone’s lifestyle, how does this affect your perception of them?"
126,127,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You preach the importance of self-care and mental health. When you push yourself to work late and skip your relaxation time, how does this affect your self-image?"
127,128,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You believe in the power of positivity and optimism. After experiencing a series of personal setbacks, do you find it challenging to maintain this belief?"
128,129,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?,"You hold strong convictions about social justice and equality. When you notice a bias in your own behaviors or opinions, how does this realization affect your worldview?"
129,130,10. You believe intelligence is based purely on effort. You learn about prodigies who excel without significant training. Does this change your perspective?," You consider yourself a lifelong learner who values education. When you resist learning a new skill out of fear of failure, how does this conflict with your identity?"
130,131,15. You believe material wealth does not bring happiness. You feel extremely happy after buying an expensive gadget you always wanted. How do you explain your feelings?,"You advocate for environmental sustainability, yet you frequently use single-use plastics. How do you reconcile this contradiction in your behavior?"
131,132,15. You believe material wealth does not bring happiness. You feel extremely happy after buying an expensive gadget you always wanted. How do you explain your feelings?,"You think honesty is the best policy, but you recently told a lie to avoid hurting someone’s feelings. How do you justify your actions?"
